title,category,text,recovery
DISMISSAL,dismissal,"Be warned! You've sold an awful lot of players, reducing your squad to the bare minimum. If you find yourself unable to field eleven men, you'll almost certainly be given the sack.","You have depleted your squad to such an extent that, should any of your remaining players pick up injuries, you'd be hard pressed to field eleven men. This blatant stupidity has earned you the sack."
LOTTO LOOT,windfall,A fan wins big on the lottery and decides to donate %s of his winnings to the team's hunt for new players.,
A WILL TO WIN,windfall,"A life-long supporter dies and leaves every penny to the club in his will. Although he lived like a miser, it turns out he had a secret horde of cash amounting to almost %s. Despite the protests of his family, the club pockets the lot.",
MAKING YOUR LANDMARK,windfall,The local council has decided to declare your stadium a landmark and has awarded a %s grant for its improvement.,
LEADING THE WAY,windfall,Your team has been recognized by the local council as Community Leaders. You receive a %s grant for their involvement.,
THROW THE BOOK AT THEM,windfall,A major publisher has produced a book about the history of the club. You receive %s in royalty payments for your involvement.,
TROUBLE BREWING,match_disruption,The police have received intelligence that rival fans intend to cause trouble at the match and so they're refusing to let the fixture go ahead. To be rescheduled.,"Following the threats of violence from rival supporters, the police have successfully identified and arrested the troublemakers and as a result are happy for the fixture to take place."
UNDER THE INFLUENZA,match_disruption,"A 'flu epidemic has reduced your squad to a mere handful. You contact the manager of your next league opponents and ask if he's willing to postpone the game until your players are fit. Fortunately, he agrees to this arrangement.","Most of the infected players have successfully shaken off the 'flu virus, so you've a full squad to choose from."
HEADING FOR A BREAKDOWN,match_disruption,"The team bus breaks down on the way to your next league opponent's ground. Although a relief coach is called for, it gets caught in heavy traffic and doesn't arrive for two hours. Rather than delay the start into the night, the police order the match to be called off.","After your team's coach travel chaos, the fixture has been re-arranged. Rest assured that this time you're going to travel with a more reputable coach company."
FAN POWER,match_disruption,Prior to a Championship game there is a sit-down protest in the centre circle by a section of fans unhappy with your string of recent losses. They refuse to leave and the police have to be called in to clear the pitch. Match abandoned.,The chairman has taken notice of the fans' sit-down protest and has made a statement to the press. This successfully placates the irate fans who promise that there will be no repeat of this unfortunate incident.
AMBUSH,match_disruption,"Rival fans attack the team bus on the way to the ground. Windows are broken and two of your star players are reduced to tears and refuse to get off the bus when it arrives at the ground. As a protest, you refuse to play the fixture until reparations have been made.","Following the nasty attack on your team bus, the rival club pay for repairs and make a public apology, promising that they will bring their fans into line. This seems an adequate response, so you agree to play the fixture."
A PAT ON THE BACK,player_message,%s comes to thank you for the faith that you've shown in him. He feels that he's become a better player for the extra training and tactical changes you've made and explains that he's happy to tie himself to the club for the foreseeable future.,
MAKING WAVES,player_message,"%s complains that he doesn't think that his playing strengths are being utilised. He also doesn't feel that he's getting paid nearly enough and will have to reconsider his future with the club. Unless things improve, he'll probably put in a transfer request.",
OVER THE HILL,player_message,"After giving years of sterling service to the club, %s has knees that are nothing but scar tissue and picks up regular injuries that keep him out of action for weeks at a time. The next season will almost certainly be his last - a prudent manager would start to look for a new player.",
ENOUGH'S ENOUGH,player_message,"It's crisis time when %s demands to leave the club. He's tired of your poor management, feels that the team's going nowhere and wants out while he can still negotiate a decent transfer fee and wage settlement with another club. If you think he's worth keeping, you might want to placate him.",
